Destinasi ,2. Alamat,3. Kalurahan/Kelurahan,4. Kapanewon/Kemantren,4.a.  Kabupaten /kota,5. Status Lahan,6. Koordinat,7. Kontak Pengelola 1,7. Kontak Pengelola 2,8. Situs/website,10.a. Facebook,10.b. Instagram,10.c. Youtube,10.d. Tiktok,11. Kelompok Perizinan berusaha Berbasis Risiko,Jenis Wisata,Rating Maps,Latitude,Longitude,Daya Tarik Utama,Harga Tiket Weekday,Harga Tiket Weekend dan Libur Nasional,Parkir Motor,Parkir Mobil,Jam Buka Weekday,Jam Buka Weekend dan Libur Nasional,Toilet,Tempat Sampah,CCTV,Area Parkir,Area Makanan/kafetaria/Restoran,Ruang Ibadah,Area Istirahat Pengunjung
Kawasan Gua Cerme,Padukuhan Ploso,Giritirto,Purwosari,Gunungkidul,Tanah Kasultanan,"7°58'43""S 110°22'43""E",0858-7063-9103,-,-,-,goacermeofficial,-,-,Tidak Ada Keterangan,Alam,4.5,-7.979207551,110.3802899,Gua panjang dengan aliran sungai bawah tanah dan sejarah sebagai tempat pertemuan Walisongo.,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Glamping Menoreh,Nglinggo Barat,Pagerharjo,Samigaluh,Kulon Progo,SHM,"-7.655530395133556, 110.14530908713022",081326136058 (luluk),-,-,-,glamping menoreh,-,glamping menoreh,Tidak Ada Keterangan,Alam,4.4,-7.65607096,110.14012477,Pengalaman berkemah mewah (glamping) dengan fasilitas lengkap  di perbukitan Menoreh,"Rp50,000","Rp50,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Tidak Ada
Gua Ngingrong dan Lembah Karst Ngingrong ,Mulo,Mulo,Wonosari ,Gunungkidul,Perhutani,"-8.02915, 110.590946 dan -8.029105, 110.590946",081390132993,-,-,-,Geosite_ngingrong,-,-,Tidak Ada Keterangan,Alam,4.4,-8.017251497,110.5916986,Bentang alam karst dan gua ,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",06.00-17.00,06.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Watu Lawang,Ngasem,Tepus,Tepus,Gunungkidul,Tanah Kasultanan,"-8,153808S, 110, 618425E",Sunarno ,-,-,-,-,-,-,Rendah,Alam,4.3,-8.186609743,110.7054573,"Pantai dengan formasi batu karang unik, menyerupai gerbang.","Rp15,000","Rp15,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada
Gua Selarong,Watu Gedug,Guwosari,Pajangan,Bantul,Tanah milik kelurahan,"7°51'43""S 110°18'53""E",082195541945,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.4,-7.861061716,110.3148151,Gua yang menjadi markas Pangeran Diponegoro saat Perang Jawa.,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Bunker Kaliadem,Kinarejo,Umbulharjo,Cangkringan ,Sleman,Kas Desa,"-7.5825914,110,447814",085228155867,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.6,-7.580093273,110.4474721,Bangunan bunker yang menjadi saksi bisu tragisnya erupsi Merapi 2006.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Sadeng,Songbanyu,Songbanyu,Girisubo,Gunungkidul,Tanah Kasultanan,"-8.189662121602604, 110.7991139150466",085228236777 (Pak Sarino),-,-,-,-,-,-,Rendah,Alam,4.4,-8.183683701,110.7984801,Pelabuhan perikanan yang ramai dan menjadi pusat aktivitas nelayan,"Rp5,000","Rp5,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Museum Dr. Yap Prawirohusodo,Jl. Simanjutak,Terban,Gondokusuman,Kota Yogyakarta,Hibah dari kesultanan dan pakualaman,"7.46'48""S 110. 22'25""E",085225305240,Tidak ada,Tidak ada,Museumdr.YapPrawirohusodo,@museumdr.yap,tidak ada,@museumdr.yap,Tidak Ada Keterangan,Sejarah,4.7,-7.779843988,110.3738492,Museum yang didedikasikan untuk mengenang seorang tokoh oftalmologi terkemuka di Indonesi dengan koleksi Alat kesehatan mata jaman dahulu,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-14.30,09.00-13.30,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Petilasan Gunung Gambar ,"Wonosari, Kampung",Kampung,Ngawen,Gunungkidul,Tanah Kasultanan,"7°49'16""S 110°40'17""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.819619826,110.6715456,Petilasan dengan Pemandangan alam dari ketinggian 650 mdpl dan situs sejarah,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Tidak Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Ayunan Langit,Sabrang Kidul RT 10 RW 05,Purwosari,Girimulyo,Kulon Progo,Sultan Groubd,"-7,736292S 110,130951E",Sumaryo 085189005973,Sariman 088216305558,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak Ada Keterangan,Alam,4.4,-7.7350029,110.1301207,Ayunan besar dengan pemandangan perbukitan Menoreh,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Pantai Sanglen,Kelorkidung,Kemadang ,Tanjungsari,Gunungkidul,Tanah Kasultanan,"-8.1367346, 110.5716362",083821298190 Pak Rahmat,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.5,-8.129614014,110.5707504,Pantai,"Rp10,000","Rp10,000","Rp5,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Wisata Alam Kalibiru,"Jalan Waduk Sermo, Kalibiru",Hargowilis ,Kokap,Kulon Progo,Kehutanan ,"-7.807294339594767, 110.12930038095857",085292041201,-,-,-,wisatakalibiru,-,Wisata Kalibiru,Tidak Ada Keterangan,Alam,4.4,-7.806429945,110.1291629,Pemandangan Waduk Sermo dari atas pohon pinus yang ikonis,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Keraton Ratu Boko,Jl Raya Piyungan Prambunan  ,Bokoharjo,Prambanan,Sleman,Tanah Kasultanan,"-7.7061, 11048591",082223071124 Nia TWC,082223071124 Nia TWC,https://ratuboko.injourneydestination.id/,"PT Taman Wisata Candi Borobudur, Prambanan & Ratu Boko",@ratubokopark,@InJourneyDestination,@TWCBorobudurPrambanan,Rendah,Sejarah,4.7,-7.770345063,110.4861207,Situs Candi Keraton Ratu boko,"Rp40,000","Rp40,000","Rp3,000","Rp5,000",07.00-17.00,07.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Gua Kiskendo,Sukomoyo,Jatimulyo,Girimulyo,Kulon Progo,SHM Dinas Pariwisata Propinsi,"-7,747719S 110, 131021E",Suosno  085327685699,Ngatino 081326228980,Desa Wisata Jatimulyo,"Desa wisata jatmulyo, goa kiskendo","Desa wisata jatmulyo, goa kiskendo","Desa wisata jatmulyo, goa kiskendo",Tidak ada,Rendah,Alam,4.3,-7.7308388,110.1300772,Gua besar dengan nilai mitologi dan sejarah dari kisah Ramayana.,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Wunung Giriselokondo ,Wunung RT 01 RW 2 ,Wunung,Wonosari,Gunungkidul,Pribadi dan Tanah Kasultanan,"-8.026309, 110.575215",085724734890,-,Wununggiripark.com,-,Wununggiriselakandha,-,Wununggiriselakandha,Menengah Rendah,Alam,4.7,-8.02235997,110.57424554,Pemandangan panorama perbukitan di kawasan Karst Wonosari yang dilengkapi Resort dan glamping ,"Rp950,000","Rp950,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Situs Surocolo/ Gua Sunan Mas,Ngerco,Seloharjo,Pundong,Bantul,Tanah Kasultanan,"7°59'34""S 110°19'35""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.985030712,110.325399,"Gua dengan nilai sejarah dan spiritual, diyakini sebagai tempat persembunyian tokoh Mataram Islam.",Rp0,Rp0,"Rp3,000","Rp5,000",08.00-18.00,08.00-18.00,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Kebun Teh Tritis ,tritis,Ngargosari,Samigaluh,Kulon Progo,SHM,"-7.648853331629034, 110.15545348761258",082327720081(bapak purwanto),-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-7.64961261,110.14932633,Perkebunan teh yang menawarkan suasana sejuk dan damai.,"Rp6,000","Rp6,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Hutan Mangrove Kadilangu,Pasir Kadilangu,Jangkaran,Temon,Kulon Progo,Tanah Pakualaman,"7°53'40""S 110°01'43""E",085809057406,-,-,-,pantai_pasirkadilangu,-,-,Tidak Ada Keterangan,Alam,4.3,-7.894427021,110.028774,Hutan Mangrove yang lebat dengan jembatan dan spot foto ikonik.,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",06.00-18.00,06.00-18.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Blue Lagoon,Ndalem,Widodomartani,Ngemplak,Sleman,Tanah Kasultanan,"-7.7028260,110.4491106",088200689722 Pak Suhadi,085725027674 cici ani,-,-,-,-,@Blue Lagoon Jogja,Tidak Ada Keterangan,Alam,4.3,-7.419672322,110.4161512,Pemandian alami dengan air jernih dan segar dari mata air.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",06.00-17.00,06.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Kawasan Hutan Wanasadi,Ngelo Lor ,Beji,Ngawen,Gunungkidul,Tanah Kasultanan,"7°50'11""S 110°40'25""E",-,-,http://desabejingawen.blogspot.com/,-,hutanwonosadi,-,-,Tidak Ada Keterangan,Alam,4.4,-7.823494708,110.6819098,Hutan adat yang kaya akan keanekaragaman flora dan fauna.,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Makam Raja-Raja Imogiri,"girireji, imogiri, bantul",Girirejo,Imogiri,Bantul,Tanah Kasultanan,"-79206313,110.3959924",0895363033344,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.8,-7.919506553,110.3957323,makam raja yogyakarta & surakarta,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",10.00-13.00,10.00-13.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Wisata Alam Kedung Banteng ,"Jl. Wisata Kedung Banteng, Pringtali",Jatimulyo,Girimulyo,Kulon Progo,SHM,"-7.772408,110.130636",082325661409,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.3,-7.77147776,110.13051023,sungai/kedung/Kolam alami dengan air yang jernih.,Rp0,Rp0,"Rp2,000","Rp5,000",08.00-16.00,08.00-16.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Bukit Klangon,Glagaharjo,Glagaharjo,Cangkringan,Sleman,Tanah Kas Desa ,"-7.5768837,110.4548294",082220120164,-,-,-,@Bukitklangon,-,@Pesona.Klangon,Tidak Ada Keterangan,Alam,4.6,-7.576597574,110.4546702,Pemandangan langsung ke puncak Gunung Merapi yang sangat dekat dan jelas.,"Rp4,000","Rp4,000","Rp3,000","Rp5,000",06.00-17.00,06.00-18.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Petilasan Kembang Lampir,Blimbing,Girisekar,Panggang,Gunungkidul,Tanah Kasultanan,"8°01'31""S 110°27'45""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.8,-8.025410039,110.463318,"Wisata religi, Situs ziarah dan petilasan sejarah yang diyakini sebagai tempat leluhur pendiri Kerajaan Majapahit.",Rp0,Rp0,"Rp3,000","Rp5,000",07.00-16.00,closed,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Tahura Bunder,"Gading III, Gading",Gading,Playen,Gunungkidul,Tanah Kasultanan,"-7.903093234302274, 110.5558557346292",082138368731,-,-,-,tahurabunder_diy,-,-,Rendah,Alam,4.3,-7.90264715,110.5553406,Kawasan hutan raya yang luas sebagai tempat konservasi alam dan edukasi.,"Rp5,000","Rp5,000","Rp1,000","Rp2,000",08.00-15.30,08.00-15.30,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Gua Braholo,Ploso,Semugih,Rongkop,Gunungkidul,Tanah Kasultanan,"8°04'10""S 110°44'55""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.2,-8.068136815,110.7485779,Gua yang merupakan situs arkeologi dan paleontolog,Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada
Air Terjun Banyunibo,"Batur, Putat, Patuk, Kepil",Putat,Patuk ,Gunungkidul,"SHM, karena tedapat beberapa lahan milik masyarakat","-7.855612701037886, 110.54800583700383",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.1,-7.895704023,110.7772161,Air terjun tersembunyi yang menawarkan suasana sepi dan tenang,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Monumen Museum Pangeran Diponegoro,Jl. hos Cokroaminoto TR III/430,Tegalrejo,Tegalrejo,Kota Yogyakarta,hibah,"-7.7870007,110.3515600",082223242398,-,-,-,museum_diponegoro,-,museumdiponegoro,Tidak Ada Keterangan,Sejarah,4.4,-7.78560781,110.3515664,Museum dan monumen yang didirikan di bekas kediaman Pangeran Diponegoro,Rp0,Rp0,"Rp3,000","Rp5,000",09.00-15.00,closed,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Bukit Penguk Kediwung,Kediwung,Mangunan,Dlingo,Bantul,Milik Dinas Kehutanan,"-7.9583559,110.4407649",(bapak Misgianto) 085523624797,(Admin) 082112140699,Tidak ada,Tidak ada,@kediwungNegridiatasawan,@Bukitpenguk,Tidak ada,Rendah,Alam,4.5,-7.957461861,110.4407271,"Pemandangan panorama Sungai Oya, perbukitan.Sunset dan Kabut","Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Pantai Nglolang ,Jl sepanjang,Kemadang,Tanjungsari ,Gunungkidul,Tanah Kasultanan ,"-8.136093, 110.563117",087886646156,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-8.134424273,110.5623563,Pantai pasir putih dengan suasana yang sepi,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Pantai Baron,Rejosari,Kemadang,Tanjungsari ,Gunungkidul,Pemda,"-8.128645, 110.549056",083844727488,-,-,-,Pantaibaron,-,-,Menengah Rendah,Alam,4.4,-8.128644691,110.5488183,"Pantai dengan teluk besar, dermaga perahu nelayan, dan mercusuar serta muara sungai yang mengalir langsung ke laut","Rp15,000","Rp15,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Bukit Teletubies ,Sumberharjo Candisari ,Wukirharjo ,Prambanan,Sleman,Warga,"-7.81822,110.51204",085826644612 (Sulasmono),-,-,-,bukit Teletubies ,-,-,Rendah,Alam,4.2,-7.817768789,110.5118307,"Pemandangan alam, bukit -bukit yang unik menyerupai serial TV anak-anak serta spot foto","Rp5,000","Rp10,000","Rp2,000","Rp5,000",09.00-17.00,09.00-17.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Taman Sari Kraton Yogyakarta,"patehan, kraton",Patehan,Kraton,Kota Yogyakarta,Tanah Kasultanan,"-7,8098550,110.3588187",081911376756,-,-,-,wisatatamansariyogyakarta,-,-,Tidak Ada Keterangan,Budaya,4.6,-7.80907652,110.3590209,Kompleks permandian dan taman kuno yang merupakan bekas kebun istana Kesultanan Yogyakarta.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",09.00-15.00,09.00-15.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Museum Bahari,Jl. arjuna no 88,-,Wirobrajan,Kota Yogyakarta,-,"-7.80121, 110.34925",--,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.4,-7.799908115,110.3494365,Maritime Museum,"Rp3,000","Rp3,000","Rp3,000","Rp5,000",08.30-15.30,08.30-15.30,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada
Hutan pendidikan Wanagama ,"Banaran I, Banaran",Banaran,Playen,Gunungkidul,Kementerian Kehutanan,"-7.9945,110.4501",082325556996,-,wanagama ,Hutan Pendidikan Wanagama,@wanagama_forest,-,-,Tinggi,Alam,4.7,-7.911923862,110.5231802,Hutan buatan yang berfungsi sebagai kawasan edukasi kehutanan dan konservasi alam,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",09.00-16.00,closed,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Pantai Depok,Depok,Parangtritis,Kretek,Bantul,Tanah Kasultanan,"-8,013999S  110,292895E",Sutarlan 082137056904,Sugito,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Rendah,Alam,4.3,-8.013078519,110.2912188,Pemandangan pantai dan Kuliner Hasil Laut,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Laguna Pantai Depok,Depok,Parangtritis,Kretek,Bantul,TKD Parangtritis,"-8,010128S  110,292595E",Adi Cahya  085225594354,Margiyono Widodo,jelajahbantul.bantulkab.go.id,tidak ada,tidak ada,tidak ada,Tidak ada,Rendah,Alam,4.6,-8.010322945,110.2925094,Pemandangan laguna,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",05.00-20.00,05.00-20.00,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Ada
Air Terjun Jurug Gede," Gembyong, Ngoro-oro, Kec. Patuk",Ngoro-Oro ,Patuk ,Gunungkidul,SHM ,"-7.817055517802348, 110.53634343907629",08816768721,-,desawisatangorooro.com,-,kimgembyong,-,-,Tidak Ada Keterangan,Alam,4.1,-7.819266372,110.5368584,Air terjun bertingkat yang diapit oleh tebing-tebing tingg,"Rp8,000","Rp8,000","Rp3,000","Rp5,000",08.00-17.00,08.00-17.00,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Telaga Jonge,"Telaga Jonge, Jelok",Pacarejo,Semanu,Gunungkidul,Tanah Kasultanan,"-8.011437513075904, 110.6246584791078",083894247508,-,-,-,telagajonge,-,-,Tidak Ada Keterangan,Alam,4.4,-8.009822651,110.6243581,Telaga alami ,Rp0,Rp0,"Rp3,000","Rp5,000",05.30-19.00,05.30-19.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Gua Payaman,Kepuhan,Argorejo ,Sedayu,Bantul,-,"-7.8346046, 110.2585664",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.2,-7.832700341,110.2585152,Gua yang memiliki nilai spiritual dan sering digunakan sebagai tempat tirakat atau meditasi.,Rp0,Rp0,"Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Sandi,"Jl. Faridan m Noto No. 21, Kotabaru",Kotabaru,Gondokusuman,Kota Yogyakarta,Pemda DIY ( Pinjam Pakai),"7°47'04""S 110°22'16""E",085642237801,-,linktr.ee//MuseumSandi,Museum Sandi,museum.sandi,Museum Sandi BSSN,museum.sandi,Tidak Ada Keterangan,Sejarah,4.8,-7.783801548,110.3710949,Museum yang khusus mengoleksi alat-alat persandian dan kriptografi.,Rp0,Rp0,"Rp5,000","Rp10,000",09.00-18.00,09.00-15.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
History Of Java Museum (HOJ),Jl. Parangtritis Km 5.5 ( Pyramid Cafe) Tarudan,Bangunharjo,Sewon,Bantul,-,"-7.84371571839862, 110.36307880689084",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.5,-7.843343807,110.3623394,Museum modern dengan teknologi interaktif yang menceritakan sejarah peradaban Jawa,"Rp30,000","Rp35,000","Rp2,000","Rp5,000",09.00-18.00,09.00-18.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Museum Taman Tino Sidin,"Jl. Tino Sidin No.297, Kadipiro",Ngestiharjo,Kasihan,Bantul,SHM,"-7.79935304842842, 110.34498885212216",081215301188,-,-,-,tamantinosidin_,Taman Tino Sidin,tamantinosidin,Tidak Ada Keterangan,Sejarah,4.7,-7.798479563,110.3451441,"Koleksi karya seni Tino Sidin, pelukis dan pendidik anak-anak yang terkenal","Rp40,000","Rp40,000","Rp3,000","Rp5,000",09.00-15.00,09.00-15.00,Ada,Ada,Tidak Ada,Tidak Ada,Tidak Ada,Ada,Ada
Pantai Congot,Sangkaran,Jangkaran,Temon,Kulon Progo,Tanah Pakualaman,"7°54'56""S 110°03'54""E",-,-,-,-,-,-,-,Tidak Ada Keterangan,Alam,4.4,-7.9068073,110.0534626,"Pantai dan laut lepas dan Muara Sungai Bogowonto yang bertemu dengan laut, menjadi tempat aktivitas nelayan.","Rp10,000","Rp10,000","Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Affandi Museum,"Jl. Laksda Adisucipto No.167, Papringan",Caturtunggal,Depok,Sleman,Milik Swasta (Milik Keluarga),"-7.782725310985462, 110.39638770782285",081392692008,-,https://www.affandi.org/ ,Affandi Museum,affandi_museum,-,@affandimuseum,Menengah Tinggi,Budaya,4.6,-7.78155279,110.3962354,"Galeri pribadi dan rumah almarhum maestro pelukis Affandi, menampilkan ribuan karya seninya.","Rp50,000","Rp50,000","Rp3,000","Rp5,000",09.00-15.00,09.00-15.00,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Wisata Klayar (Desa Wisata),Padukuhan Klayar,Kedungpoh,Nglipar,Gunungkidul,Tanah kehutanan,"-7.8935644, 110.6573925",083112077807 pak Didi,-,-,@Desawisataklayar,-,-,-,Menengah Rendah,Alam,4.1,-7.89325718,110.65736944,Wisata air dan perkemahan dengan lanskap perbukitan dan tebing batu yang unik dengan pemandangan alam.,"Rp15,000","Rp15,000","Rp3,000","Rp5,000",07.00-18.00,07.00-18.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Situs Mangir Ki Ageng,Mangir Tengah,Sendangsari,Pajangan,Bantul,Sertifikat Hak Milik (SHM),"-7.905758698080876, 110.2793479662367",081392970570,-,-,-,-,-,-,Rendah,Sejarah,4.5,-7.904750696,110.27944,Sejarah Ki Ageng Mangir,Rp0,Rp0,"Rp3,000","Rp5,000",08.00-16.00,08.00-16.00,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Tidak Ada,Ada
Museum Rumah Garuda,"Trirenggo, Kec.Bantul, Kab.Bantul,DIY",Trirenggo,Bantul,Bantul,-,"-7.90898,110.34175",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.7,-7.90879783,110.34178127,Koleksi yang berfokus pada sejarah dan filosofi Garuda Pancasila sebagai lambang negara Indonesia,Rp0,Rp0,"Rp3,000","Rp5,000",10.00-23.30,10.00-23.30,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
Candi Sambisari,Sambisari,Purwomartani ,Kalasan,Sleman,Pemerintah,"-7.76307, 110.44660",087738161245 (dwi),-,--,Candi Sambisari ,Candisambisari,-,-,Rendah,Sejarah,4.6,-7.761031633,110.4469991,Candi Hindu yang ditemukan terkubur oleh material vulkanik letusan Gunung Merapi dengan posisi berada di kedalaman 5 meter di bawah permukaan tanah.,"Rp10,000","Rp10,000","Rp3,000","Rp5,000",08.00-16.00,07.00-17.00,Ada,Ada,Ada,Tidak Ada,Tidak Ada,Ada,Ada
Pantai Pandansari,Wonoreto,Gadingsari,Sanden,Bantul,Tanah Kasultanan,"8°00'44""S 110°16'26""E",081326486919,-,-,-,pandansari_beach,-,PANTAI PANDANSARI,Tidak Ada Keterangan,Alam,4.3,-7.992435415,110.252665,Pantai,"Rp15,000","Rp15,000","Rp3,000","Rp10,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Tidak Ada,Ada
Pantai Samas,Sogo Sandan,Sri Gading,Sanden,Bantul,Tanah Kasultanan,"8°00'19""S 110°15'54""E",-,-,-,pantai.samas,pantai.samas,pantai.samas,-,Tidak Ada Keterangan,Alam,4.3,-8.005209741,110.2651496,Pantai yang dikenal sebagai pusat pemancingan,"Rp10,000","Rp10,000","Rp2,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Ada,Ada,Tidak Ada
Candi Kedulan,Kedulan Tirtomartani,tirtomartani,kalasan,Sleman,Tanah Kasultanan,"-7.7426118,110.4697364",087738161245 Dwi,-,-,-,-,-,-,Rendah,Sejarah,4.6,-7.741983748,110.4696137,Candi yang ditemukan terkubur oleh material letusan Gunung Merapi. Candi ini memiliki keunikan karena posisinya yang berada di bawah permukaan tanah.,"Rp5,000","Rp5,000","Rp3,000","Rp5,000",09.00-15.30,09.00-16.00,Ada,Ada,Ada,Ada,Tidak Ada,Ada,Ada
Gua Maria Sendangsono ,Semagung Banjaroyo Kalibawang ,Banjaroyo ,Kalibawang ,Kulon Progo,PGMP (yayasan),"-7.669167, 110.225472",081393301918,083141464955,Sendangsonoofficial.com,Goa Maria Sendangsono ,Sendangsono_official,-,Sendangsonoofficial,Tidak Ada Keterangan,Budaya,4.8,-7.665241709,110.224860104,Gua Maria (Ziarah),Rp0,Rp0,"Rp3,000","Rp5,000",00.00-23.59,00.00-23.59,Ada,Ada,Tidak Ada,Ada,Tidak Ada,Ada,Ada
Museum Ullen Sentalu,"Jl. Boyong No.KM 25, Kaliurang, Hargobinangun, Kec. Pakem",Hargobinangun,Pakem,Sleman,-,"-7.597994030421654, 110.42281426560957",-,-,-,-,-,-,-,Tidak Ada Keterangan,Sejarah,4.7,-7.594355728,110.4226663,Koleksi seni dan budaya Jawa dari Keraton Yogyakarta dan Surakarta.,"Rp50,000","Rp50,000","Rp3,000","Rp5,000",08.30-15.00,08.30-15.00,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada
